recipe_id;name;link;ingredients;calories;fat;sodium;sugars;protein;rating;rating_count
b2bc0cab-51fc-41b2-b560-a4ffca941920;airfryergarlicandparsleybabypotatoes;https://www.allrecipes.com/recipe/268653/air-fryer-garlic-and-parsley-baby-potatoes/;1 pound baby potatoes, cut into quarters,1 tablespoon avocado oil, teaspoon granulated garlic, teaspoon dried parsley, teaspoon salt,;120;4.0;153.0;1.0;2.0;4.7;38
79175c9c-e3af-4466-bebf-36a2ecfd7513;applesauceforthefreezer;https://www.allrecipes.com/recipe/234078/applesauce-for-the-freezer/;3  pounds apples  peeled, cored, and quartered,1 cup water, cup dark brown sugar, cup white sugar, or less to taste,3 tablespoons lemon juice, or more to taste,1 3 inch piece cinnamon stick,4 strips lemon zest, teaspoon salt,;63;0.0;60.0;14.0;0.0;4.9;47
87cdbf71-6735-4cfc-b4e7-1c09bf698fff;superfastasparagus;https://www.allrecipes.com/recipe/161685/superfast-asparagus/;1 pound asparagus,1 teaspoon cajun seasoning,;32;0.0;161.0;3.0;3.0;4.7;395
4a856c96-afcc-4391-a5d2-befdf0e9337d;grilledbutternutsquash;https://www.allrecipes.com/recipe/254989/grilled-butternut-squash/;1 butternut squash, sliced into rounds and seeded,1 teaspoon olive oil,;100;1.0;8.0;5.0;2.0;4.6;7
261405c6-9555-4645-80c2-363adb9b03be;easybananaicecream;https://www.allrecipes.com/recipe/244441/easy-banana-ice-cream/;2 peeled and chopped bananas, frozen, cup skim milk,;126;0.0;27.0;18.0;3.0;3.0;5
1ed28454-56d0-440f-b86b-5b44963f7b19;instantpotsteamedartichokes;https://www.allrecipes.com/recipe/262644/instant-pot-steamed-artichokes/;1 cup water,2 cloves garlic,1 bay leaf, teaspoon salt,4 artichokes, trimmed and stemmed,2 tablespoons lemon juice,;64;0.0;413.0;2.0;4.0;4.0;21
98f38a0e-34c7-42de-8558-a9377aa7c00b;stirfriedmushroomswithbabycorn;https://www.allrecipes.com/recipe/213954/stir-fried-mushrooms-with-baby-corn/;2 tablespoons cooking oil,3 cloves garlic, minced,1 onion, diced,8 baby corn ears, sliced, pound fresh mushrooms, sliced,1 tablespoon fish sauce,1 tablespoon light soy sauce,1 tablespoon oyster sauce,2 teaspoons cornstarch,3 tablespoons water,1 red chile pepper, sliced, cup chopped fresh cilantro,;49;1.0;448.0;3.0;3.0;4.3;37
cbee2c44-4cd5-48e1-b7ab-52add1cec0a9;splitpeasoupwithoutpork;https://www.allrecipes.com/recipe/25697/split-pea-soup-without-pork/;1 pound dried split peas,1 stalk celery, diced,2 large carrots, peeled and diced,2 145 ounce cans lowfat, low sodium chicken broth,3 cups water,salt and pepper to taste,;65;0.0;144.0;2.0;5.0;4.4;86
5784e11b-1860-4bae-9ab3-1bcd2985e63e;chickpeacurry;https://www.allrecipes.com/recipe/34689/chickpea-curry/;2 tablespoons vegetable oil,2 onions, minced,2 cloves garlic, minced,2 teaspoons fresh ginger root, finely chopped,6 whole cloves,2 2 inch sticks cinnamon, crushed,1 teaspoon ground cumin,1 teaspoon ground coriander,salt,1 teaspoon cayenne pepper,1 teaspoon ground turmeric,2 15 ounce cans garbanzo beans,1 cup chopped fresh cilantro,;135;5.0;289.0;1.0;4.0;4.3;726
7912c16e-6109-4a23-ae45-1be8613b5854;deliciousandeasycornonthecob;https://www.allrecipes.com/recipe/237681/delicious-and-easy-corn-on-the-cob/; teaspoon white sugar,4 ears corn, husked and cleaned,;78;1.0;14.0;3.0;3.0;4.7;104
c88fc6f3-462b-41d7-9479-c5c0c0c3122e;instantpotblackbeans;https://www.allrecipes.com/recipe/276466/instant-pot-black-beans/;1  cups dry black beans,;118;1.0;2.0;1.0;8.0;5.0;4
3a1092ae-0cd8-43a2-949d-1c8d21ac8be0;mediterraneankale;https://www.allrecipes.com/recipe/218989/mediterranean-kale/;12 cups chopped kale,2 tablespoons lemon juice,1 tablespoon olive oil, or as needed,1 tablespoon minced garlic,1 teaspoon soy sauce,salt to taste,ground black pepper to taste,;91;3.0;108.0;0.0;5.0;4.5;427
43cac70d-96ab-42bd-9b20-9a7fd9088895;supereasyslowcookerchickenenchiladameat;https://www.allrecipes.com/recipe/228367/super-easy-slow-cooker-chicken-enchilada-meat/;2 cups chicken broth,1 145 ounce can diced tomatoes, cup chili powder, cup allpurpose flour,1 clove garlic,2 teaspoons ground cumin,1 teaspoon oregano,1 teaspoon salt, or to taste,1 pinch cayenne pepper, or more to taste optional,4 skinless, boneless chicken breast halves,;93;2.0;359.0;1.0;10.0;4.4;82
3b229435-7d40-4636-83e8-2c696d820e0e;italianstewedtomatoes;https://www.allrecipes.com/recipe/21092/italian-stewed-tomatoes/;24 large tomatoes  peeled, seeded and chopped,1 cup chopped celery, cup chopped onion, cup chopped green bell pepper,2 teaspoons dried basil,1 tablespoon white sugar,;101;1.0;34.0;15.0;5.0;4.6;79
82ba33cd-99b7-4afa-9fea-9da0275c9eee;quickandeasyvegetablecurry;https://www.allrecipes.com/recipe/13982/quick-and-easy-vegetable-curry/;1 tablespoon olive oil,1 onion, chopped,2 cloves crushed garlic,2  tablespoons curry powder,2 tablespoons tomato paste,1 145 ounce can diced tomatoes,1 cube vegetable bouillon,1 10 ounce package frozen mixed vegetables,1  cups water,salt and pepper to taste,2 tablespoons chopped fresh cilantro,;103;4.0;267.0;4.0;4.0;4.1;119
